OBJECTID,REGIONNAME,ZONENAME,WOREDANAME,REG_P_CODE,ZON_P_CODE,WOR_P_CODE,REG_Pcode,HRname,HRpcode,HRparent,DRMF_Name,pop_2020,pop_2022,pop_2030,cons_class12,cons_class40,cons_class80,cons_class12_2030,cons_class40_2030,cons_class80_2030,Females_2022_12USD,Males_2022_12USD,Females_2022_40USD,Males_2022_40USD,Females_2022_80USD,Males_2022_80USD,Females_2030_12USD,Males_2030_12USD,Females_2030_40USD,Males_2030_40USD,Females_2030_80USD,Males_2030_80USD
"51",Somali,Fafan,Jijiga,"05","0502","050204",ET05,Jijiga,ET050204,ET0502,,433121.6875,574378.484799047,807558.928846032,170530.397772468,8319.16012299305,7968.49057045354,489925.657298793,40904.0977338894,9183.980877039,56731.7404897864,64237.9962784721,2767.64526026437,3133.83381610577,2650.98373899737,3001.73633441532,180512.193250613,189662.810090201,14227.5457984045,15071.4354572737,3194.43566240762,3383.90974737112
"52",Dire Dawa,Dire Dawa,Dire Dawa,"15","1501","150102",ET15,Dire Dawa,ET150102,ET1501,Dire Dawa,493645.40625,654641.198196489,920405.897478903,194360.037642687,9481.66600079038,9081.99445646746,558387.070214675,46619.9696895473,10467.3353976027,64659.3414497403,73214.5091893427,3154.39149848411,3571.75064633891,3021.4278863593,3421.19407783716,205736.67295355,216165.982077483,16215.679861549,17177.4932860561,3640.82089587975,3856.77178068888
"53",Somali,Fafan,Kebribeyah,"05","0502","050206",ET05,Kebribeyah,ET050206,ET0502,,259554.8125,344205.114240674,483942.070805061,102192.955690734,4985.3842654345,4775.24015908828,293595.462404841,24512.4077694709,5503.64136301405,33997.3653838915,38495.6042623345,1658.55385986515,1877.99796690045,1588.64265441802,1798.83652548248,108174.69968674,113658.347138725,8526.07497757783,9031.78879542606,1914.31455253444,2027.85980324717
"54",Somali,Fafan,Hareshen,"05","0502","050207",ET05,Hareshen,ET050207,ET0502,,120736.9296875,160113.651046844,225114.992909692,47537.0253664241,2319.04769448624,2221.29510824912,136571.594876294,11402.41949216,2560.12498428032,15814.5305586085,17906.9731758463,771.508333182881,873.5869942035,738.987786886176,836.7635221423,50319.5490164311,52870.373447172,3966.06830427453,4201.31084545276,890.480354815647,943.298119277836
"55",Hareri,Hareri,Harar,"13","1301","130101",ET13,Harar,ET130101,ET1301,Harari,285557.71875,378688.517688917,532424.702185957,112430.923619903,5484.83360496203,5253.6366911426,323008.653440698,26968.1273727872,6055.01110652854,37403.3138088483,42352.1984785199,1824.71229134732,2066.14090519023,1747.7971914104,1979.04885551275,119011.93498006,125044.949131236,9380.24033165859,9936.6179336539,2106.09578503447,2231.0163074325
"56",Somali,Fafan,Gursum,"05","0502","050202",ET05,Gursum,ET050202,ET0502,Gursum,43225.18359375,57322.4942880256,80593.7083493235,17018.7916346954,830.245249869134,795.248720656409,48894.1724582401,4082.19487804813,916.553640670557,5661.78043962299,6410.89851413083,276.208691344507,312.754004158414,264.565968708752,299.570785531566,18014.9665079244,18928.1904454519,1419.89721820272,1504.11670314248,318.802017934029,337.711373769056
"57",Somali,Nogob,Dihun,"05","0504","050406",ET05,Dihun,ET050406,ET0504,Dihun,38981.765625,51695.1427755025,72681.8208396735,15348.0561924168,748.740041126113,717.179122558813,44094.2296303175,3681.44564676081,826.575533817425,5105.96323180233,5781.54035555429,249.093273281929,282.050931303537,238.59351718397,270.161909766351,16246.4365392695,17070.009247032,1280.50585260143,1356.45750740145,287.505211329589,304.55823496064
"58",Somali,Doolo,Geladin,"05","0507","050703",ET05,Geladin,ET050703,ET0507,,151705.28125,201181.912832265,282855.73768812,59730.008222566,2913.87054180344,2791.04496038109,171601.450070783,14327.0767317492,3216.78281682864,19870.8697698382,22500.0122912618,969.395933581912,1097.65720393091,928.534047867949,1051.38871590405,63226.2337270713,66431.3304500582,4983.34278595598,5278.92373176748,1118.88361766825,1185.24884522101
"59",Somali,Fafan,Babile,"05","0502","050201",ET05,Babile,ET050201,ET0502,Babile,120159.5234375,159347.931535308,224038.414233961,47309.6866754037,2307.95719685383,2210.67209769289,135918.461715974,11347.8891318391,2547.88157068242,15738.899939137,17821.3357635228,767.818710342049,869.409195482948,735.453688678393,832.761826151624,50078.9033235642,52617.528819209,3947.10117770652,4181.21870672904,886.221766132768,938.78693756157
"60",Somali,Jarar,Degehabur,"05","0503","050302",ET05,Degehabur,ET050302,ET0503,Degehabur,181413.09375,240578.52773958,338246.197074569,71426.68661292,3484.48165693342,3337.60365417785,205205.446328698,17132.688413247,3846.71197940067,23762.0993201231,26906.0958559795,1159.22869613192,1312.60683610565,1110.36499776395,1257.27778304352,75607.563376035,79440.300822577,5959.21001937445,6312.67334900534,1337.98992991478,1417.35118318538
"61",Somali,Jarar,Gashamo,"05","0503","050304",ET05,Gashamo,ET050304,ET0503,Gashamo,144889.640625,192143.44293315,270147.919997683,57046.5270199411,2782.95951301745,2665.6520982379,163891.937226046,13683.406284644,3072.26289327997,18978.134156803,21489.1575828973,925.844026540899,1048.34292185851,886.817936693708,1004.15313131703,60385.6781207978,63446.7799396374,4759.45688521209,5041.75830979895,1068.61569966044,1131.99934649783
"62",Somali,Jarar,Degehamedo,"05","0503","050301",ET05,Degehamedo,ET050301,ET0503,,91093.8828125,120802.924199693,169845.289560774,35865.8467561827,1749.68056140655,1675.92796012415,103040.858264142,8602.92428908209,1931.56912228098,11931.7842284814,13510.495257989,582.089422629278,659.105970993865,557.553244336372,631.323311145099,37965.2117470997,39889.7637658614,2992.3285466266,3169.8148926358,671.851713459698,711.701784674777
